player_name,Total_Matches,Total_Bt_Runs,Total_Bt_Balls,Total_Bw_Runs,Total_Bw_Balls,Total_4s,Total_6s,Total_Wkts,Batting_Points,Bowling_Points,Total_Fantasy_Points,FPS_per_Match,Match_Factor,Adjusted_FPS
Harpreet Brar,31,138,114,700,530,13,5,26,161,650,811,26.161290322580644,1.0,26.161290322580644
A Zampa,8,10,17,278,183,0,0,10,10,250,260,32.5,0.8,26.0
Mk Pandey,13,294,249,0,0,22,10,0,336,0,336,25.846153846153847,1.0,25.846153846153847
K Rabada,21,29,28,743,497,0,3,20,35,500,535,25.476190476190474,1.0,25.476190476190474
Sandeep Sharma,32,8,13,1039,769,0,0,32,8,800,808,25.25,1.0,25.25
I Sharma,24,2,9,636,456,0,0,24,2,600,602,25.083333333333332,1.0,25.083333333333332
Naman Dhir,19,392,226,75,53,37,23,0,475,0,475,25.0,1.0,25.0
J Little,11,0,0,331,236,0,0,11,0,275,275,25.0,1.0,25.0
Washington Sundar,15,193,148,328,203,16,7,6,223,150,373,24.866666666666667,1.0,24.866666666666667
Jm Sharma,37,757,507,0,0,55,50,0,912,0,912,24.64864864864865,1.0,24.64864864864865
Arshad Khan,18,119,90,465,289,5,9,12,142,300,442,24.555555555555557,1.0,24.555555555555557
Rahmanullah Gurbaz,18,363,283,0,0,34,22,0,441,0,441,24.5,1.0,24.5
Jd Unadkat,21,33,34,562,398,3,1,19,38,475,513,24.428571428571427,1.0,24.428571428571427
A Kamboj,11,16,15,277,198,2,0,10,18,250,268,24.363636363636363,1.0,24.363636363636363
Kk Nair,8,198,122,0,0,24,10,0,242,0,242,30.25,0.8,24.200000000000003
Ra Tripathi,24,493,395,0,0,53,17,0,580,0,580,24.166666666666668,1.0,24.166666666666668
Dl Chahar,32,38,27,837,624,3,2,29,45,725,770,24.0625,1.0,24.0625
R Shepherd,14,127,50,299,166,10,12,7,161,175,336,24.0,1.0,24.0
Aniket Verma,12,236,148,0,0,12,20,0,288,0,288,24.0,1.0,24.0
