player_name,Total_Matches,Total_Bt_Runs,Total_Bt_Balls,Total_Bw_Runs,Total_Bw_Balls,Total_4s,Total_6s,Total_Wkts,Batting_Points,Bowling_Points,Total_Fantasy_Points,FPS_per_Match,Match_Factor,Adjusted_FPS,Strike_Rate,SR_Bonus_Points,Economy_Rate,Econ_Bonus_Points,Enhanced_FPS,Predicted_Fantasy_Score,clean_name_x,clean_name_y,Role,Team_2025
K Yadav,2,0,0,68,42,0,0,2,0,50,50,25,0.2,5,0,-6,9.714285714,0,-1,-0.486,k yadav,,BOWL,-
Arshad Khan (2),1,5,4,22,13,1,0,0,6,0,6,6,0.1,0.6,125,0,10.15384615,-2,-1.4,-0.707,arshad khan,arshad khan,AR,GT
D Ferreira,3,9,14,0,0,0,0,0,9,0,9,3,0.3,0.9,64.28571429,-2,,0,-1.1,-1.073666667,d ferreira,,BAT WK,DC
Je Root,2,10,15,14,12,1,0,0,11,0,11,5.5,0.2,1.1,66.66666667,-2,7,0,-0.9,-1.451666667,je root,,BAT,-
V Kaverappa,1,0,0,36,24,0,0,2,0,50,50,50,0.1,5,0,-6,9,0,-1,-1.494666667,v kaverappa,,BOWL,-
Lb Williams,2,1,2,61,42,0,0,1,1,25,26,13,0.2,2.6,50,-4,8.714285714,0,-1.4,-1.642333333,lb williams,,BOWL,-
Shivam Singh,1,2,3,0,0,0,0,0,2,0,2,2,0.1,0.2,66.66666667,-2,,0,-1.8,-1.731333333,shivam singh,shivam singh,AR,-
Gulbadin Naib,2,19,15,12,6,1,1,0,22,0,22,11,0.2,2.2,126.6666667,0,12,-6,-3.8,-1.875,gulbadin naib,gulbadin naib,AR,-
K Khejroliya,3,0,0,90,47,0,0,3,0,75,75,25,0.3,7.5,0,-6,11.4893617,-4,-2.5,-1.904666667,k khejroliya,,BOWL,GT
D Pretorius,1,0,0,24,28,0,0,0,0,0,0,0,0.1,0,0,-6,5.142857143,4,-2,-2.965,d pretorius,dwaine pretorius,AR,-
Ba Stokes,2,15,15,18,6,2,0,0,17,0,17,8.5,0.2,1.7,100,0,18,-6,-4.3,-3.411,ba stokes,,AR,-
Ms Wade,1,4,7,0,0,0,0,0,4,0,4,4,0.1,0.4,57.14285714,-4,,0,-3.6,-3.426333333,ms wade,,BAT WK,-
Ssb Magala,2,0,0,50,37,0,0,1,0,25,25,12.5,0.2,2.5,0,-6,8.108108108,0,-3.5,-3.551333333,ssb magala,,BOWL,-
Pwa Mulder,1,9,12,16,6,1,0,0,10,0,10,10,0.1,1,75,0,16,-6,-5,-4.575333333,pwa mulder,wiaan mulder,AR,-
J Yadav,1,0,0,26,24,0,0,0,0,0,0,0,0.1,0,0,-6,6.5,2,-4,-4.617666667,j yadav,,BOWL,-
M Tiwari,2,3,4,14,6,0,0,0,3,0,3,1.5,0.2,0.3,75,0,14,-6,-5.7,-4.77,m tiwari,,BOWL,-
Kumar Kushagra,3,3,7,0,0,0,0,0,3,0,3,1,0.3,0.3,42.85714286,-6,,0,-5.7,-5.241333333,kumar kushagra,kumar kushagra,BAT WK,GT
R Minz,2,6,16,0,0,0,0,0,6,0,6,3,0.2,0.6,37.5,-6,,0,-5.4,-5.285333333,r minz,,BAT WK,MI
S Joseph,1,0,0,37,30,0,0,0,0,0,0,0,0.1,0,0,-6,7.4,0,-6,-5.293333333,s joseph,,BOWL,-
Rk Bhui,2,3,9,0,0,0,0,0,3,0,3,1.5,0.2,0.3,33.33333333,-6,,0,-5.7,-5.584666667,rk bhui,ricky bhui,BAT,-
R Goyal,1,0,0,33,24,0,0,0,0,0,0,0,0.1,0,0,-6,8.25,0,-6,-5.597,r goyal,,BOWL,-
Br Sharath,1,2,5,0,0,0,0,0,2,0,2,2,0.1,0.2,40,-6,,0,-5.8,-5.767333333,br sharath,br sharath,BAT WK,-
D Jansen,1,0,0,49,28,0,0,1,0,25,25,25,0.1,2.5,0,-6,10.5,-2,-5.5,-5.845,d jansen,duan jansen,AR,-
Ms Bhandage,1,1,4,0,0,0,0,0,1,0,1,1,0.1,0.1,25,-6,,0,-5.9,-5.855,ms bhandage,manoj bhandage,AR,RCB
Mj Owen,1,0,2,0,0,0,0,0,0,0,0,0,0.1,0,0,-6,,0,-6,-5.895333333,mj owen,mj owen,AR,PBKS
